,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
108,Undercover Martyn - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,184586,4,0.444,0.000127,0.444,0.949,0.00182,0.897,-5.765,0.0915,159.936,4
109,Do You Want It All? - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,229186,2,0.471,0.000402,0.471,0.923,0.000632,0.362,-5.728,0.046,153.992,1
110,This Is The Life - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,199586,4,0.44,3.08e-05,0.44,0.944,0.218,0.712,-4.975,0.0428,136.126,4
111,Something Good Can Work - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,190906,3,0.577,0.00214,0.577,0.953,0.0972,0.891,-6.15,0.0502,120.027,4
112,Handshake - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,245253,2,0.538,0.00175,0.538,0.844,0.212,0.904,-6.617,0.0394,131.062,4
113,Costume Party - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,220040,3,0.544,0.00308,0.544,0.892,0.000133,0.97,-4.962,0.0377,142.969,4
114,You’re Not Stubborn - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,206320,2,0.534,0.00154,0.534,0.941,0.0,0.966,-5.276,0.0546,131.978,4
115,Settle - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,239013,2,0.47,0.0131,0.47,0.894,0.0144,0.663,-6.336,0.0642,132.007,3
116,"Eat That Up, It’s Good For You - Live",Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,252306,3,0.434,0.00107,0.434,0.842,0.00209,0.199,-6.562,0.0498,155.084,4
117,What You Know - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,276600,6,0.48,0.0135,0.48,0.943,0.000218,0.715,-5.18,0.124,139.052,4
118,Sleep Alone - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,235213,2,0.441,0.00113,0.441,0.945,8.53e-05,0.718,-4.763,0.0643,147.958,4
119,Come Back Home - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,258293,2,0.531,0.0144,0.531,0.905,0.000809,0.183,-5.107,0.0719,124.938,4
120,I Can Talk - Live,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,217106,2,0.367,0.00017,0.367,0.918,0.000395,0.762,-5.102,0.0947,162.909,4
121,Next Year,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,251480,15,0.557,0.00299,0.557,0.816,0.000859,0.0717,-4.786,0.0752,127.43,4
122,Handshake,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,211093,13,0.555,9.31e-05,0.555,0.829,0.511,0.438,-5.015,0.0269,131.001,4
123,Wake Up,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,225800,11,0.52,3.7e-05,0.52,0.812,0.701,0.725,-4.375,0.0369,134.969,4
124,Sun,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,187720,19,0.646,0.0095,0.646,0.54,0.000314,0.111,-5.471,0.0288,96.971,4
125,Some Day,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,223120,12,0.479,9.58e-06,0.479,0.917,0.701,0.203,-4.61,0.0345,144.011,4
126,Sleep Alone,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,236440,18,0.524,0.000112,0.524,0.76,0.00237,0.0929,-4.956,0.0428,148.01,4
127,The World Is Watching,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,216400,10,0.6,0.000114,0.6,0.676,0.74,0.154,-7.393,0.0283,123.997,4
128,Settle,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,232346,3,0.484,0.00696,0.484,0.781,0.064,0.0874,-5.661,0.0377,131.797,3
129,Spring,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,204306,10,0.639,0.00821,0.639,0.767,0.127,0.114,-6.279,0.0357,125.955,4
130,Pyramid,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,189600,2,0.391,0.000622,0.391,0.738,0.0591,0.0977,-6.576,0.0419,141.233,4
131,Beacon,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,203426,2,0.74,0.0133,0.74,0.537,0.051,0.0508,-5.984,0.044,122.026,4
132,Start Again,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,255813,1,0.391,0.000996,0.391,0.836,9.13e-05,0.35,-4.467,0.0754,133.958,4
133,Sleep Alone - acoustic,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,245946,1,0.692,0.385,0.692,0.607,0.0,0.116,-7.915,0.051,134.915,4
134,Cigarettes In the Theatre - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,305946,1,0.201,0.0002,0.201,0.909,0.337,0.909,-5.69,0.104,168.899,4
135,Undercover Martyn - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,184586,0,0.437,0.00013,0.437,0.947,0.00129,0.897,-5.763,0.0906,159.998,4
136,Do You Want It All? - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,229186,0,0.469,0.000451,0.469,0.928,0.000348,0.363,-5.777,0.0456,153.982,1
137,This Is the Life - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,199586,1,0.444,3.07e-05,0.444,0.94,0.215,0.71,-4.976,0.0407,136.091,4
138,Something Good Can Work - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,190906,1,0.553,0.00228,0.553,0.95,0.13,0.904,-6.179,0.0551,120.009,4
139,Handshake - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,245253,0,0.541,0.0019,0.541,0.847,0.137,0.906,-6.622,0.0406,131.044,4
140,Costume Party - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,220040,0,0.547,0.00295,0.547,0.898,0.000113,0.973,-4.981,0.037,143.015,4
141,You're Not Stubborn - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,206320,0,0.532,0.00175,0.532,0.941,0.0,0.97,-5.295,0.0549,131.973,4
142,Settle - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,239013,0,0.491,0.0121,0.491,0.893,0.0138,0.664,-6.341,0.0579,131.968,3
143,"Eat That Up, It's Good For You - Live At Brixton",Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,252306,2,0.454,0.000943,0.454,0.858,0.0042,0.19,-6.558,0.0537,154.967,4
144,What You Know - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,276600,1,0.466,0.0135,0.466,0.936,0.000185,0.716,-5.161,0.165,139.018,4
145,Sleep Alone - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,235213,0,0.449,0.00139,0.449,0.944,6.84e-05,0.717,-4.76,0.0615,147.943,4
146,Come Back Home - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,258293,0,0.531,0.0142,0.531,0.905,0.000387,0.196,-5.11,0.0683,124.939,4
147,I Can Talk - Live At Brixton,Beacon (deluxe edition),Two Door Cinema Club,2012-09-02,216573,1,0.366,0.000178,0.366,0.918,0.000476,0.749,-5.095,0.0895,162.99,4
148,Undercover Martyn - Passion Pit Remix,Tourist History Remixes,Two Door Cinema Club,2011,305786,12,0.789,0.00708,0.789,0.852,0.205,0.0678,-5.99,0.0502,123.972,4
149,I Can Talk - Moulinex Remix,Tourist History Remixes,Two Door Cinema Club,2011,310440,12,0.763,0.0143,0.763,0.751,1.55e-06,0.0673,-5.486,0.171,132.006,4
150,Come Back Home - Myd Remix,Tourist History Remixes,Two Door Cinema Club,2011,241973,10,0.585,0.00118,0.585,0.881,0.000245,0.0654,-7.392,0.0575,159.993,4
