,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
137,Lizstomania - Live at Berghain,Live at Berghain (Spex Festival Berlin 20.5.2009),Phoenix,2009-01-01,227586,0,0.528,0.0045,0.528,0.867,0.0437,0.675,-6.363,0.0478,97.483,4
138,Long Distance Call - Live at Berghain,Live at Berghain (Spex Festival Berlin 20.5.2009),Phoenix,2009-01-01,197760,0,0.537,0.00773,0.537,0.721,0.01,0.72,-7.766,0.053,104.864,4
139,Rome - Live At Berghain,Live at Berghain (Spex Festival Berlin 20.5.2009),Phoenix,2009-01-01,276453,0,0.635,0.058,0.635,0.683,0.102,0.924,-8.369,0.0391,125.967,4
140,1901 - Live at Berghain,Live at Berghain (Spex Festival Berlin 20.5.2009),Phoenix,2009-01-01,238240,0,0.466,0.000504,0.466,0.843,0.0165,0.947,-7.075,0.0484,143.977,4
141,Consolation Prizes - Extended,Alt Versions 2006,Phoenix,2006-10-02,461586,2,0.611,0.0108,0.611,0.468,0.128,0.142,-7.415,0.0757,96.639,4
142,Consolation Prizes - Remix by l'Aiglon,Alt Versions 2006,Phoenix,2006-10-02,209093,1,0.592,0.114,0.592,0.75,0.000103,0.119,-4.448,0.0349,102.042,4
143,Long Distance Call - Remix by 25 Hours a Day,Alt Versions 2006,Phoenix,2006-10-02,250546,6,0.656,0.0126,0.656,0.852,0.0958,0.235,-5.808,0.0497,125.979,4
144,Long Distance Call - Sébastien Tellier Remix,Alt Versions 2006,Phoenix,2006-10-02,189986,3,0.628,0.0812,0.628,0.58,0.0127,0.128,-5.905,0.0268,104.978,4
145,Consolation Prizes,Consolation Prizes,Phoenix,2006-09-11,196253,14,0.706,0.000725,0.706,0.606,0.000358,0.107,-5.362,0.0386,102.0,4
146,Consolation Prizes - Remix by l'Aiglon,Consolation Prizes,Phoenix,2006-09-11,207053,5,0.586,0.112,0.586,0.777,0.000108,0.0981,-4.199,0.0358,101.962,4
147,Consolation Prizes - Extended,Consolation Prizes,Phoenix,2006-09-11,461546,6,0.616,0.0103,0.616,0.479,0.108,0.145,-7.183,0.076,96.934,4
148,Napoleon Says - Live At O2 Musicflash 2006,Phoenix O2 Music Flash 2006,Phoenix,2006-08-26,194574,0,0.498,0.0148,0.498,0.732,5.04e-06,0.883,-9.029,0.0377,122.893,4
149,Long Distance Call - Live At O2 Musicflash 2006,Phoenix O2 Music Flash 2006,Phoenix,2006-08-26,186356,0,0.596,0.113,0.596,0.508,0.000139,0.452,-9.731,0.0276,105.033,4
150,If I Ever Feel Better - Live At O2 Musicflash 2006,Phoenix O2 Music Flash 2006,Phoenix,2006-08-26,370625,0,0.515,0.411,0.515,0.685,0.0,0.31,-10.182,0.0418,122.685,4
151,Sometimes In The Fall - Live At O2 Musicflash 2006,Phoenix O2 Music Flash 2006,Phoenix,2006-08-26,340846,0,0.359,0.195,0.359,0.837,2.25e-06,0.727,-8.323,0.0537,153.603,4
152,Long Distance Call - Remix by 25 Hours a Day,Long Distance Call,Phoenix,2006-05-05,252426,15,0.657,0.0108,0.657,0.858,0.139,0.223,-5.654,0.0473,125.969,4
153,Everything Is Everything,Everything Is Everything,Phoenix,2004-12-31,178613,1,0.699,0.0298,0.699,0.814,0.0172,0.104,-7.628,0.0339,109.071,4
154,I'm an Actor - Live One-Take Version,I'm an Actor (Live One-Take Version),Phoenix,2004-10-22,212426,7,0.338,0.0471,0.338,0.315,0.0154,0.172,-16.386,0.0352,143.708,4
155,(You Can't Blame It On) Anybody - Radio Edit,You Can't Blame It On (Anybody),Phoenix,2004-09-20,169866,10,0.832,0.147,0.832,0.714,0.0,0.126,-6.576,0.0343,101.28,4
